Station,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Year
Khepupara ,6,18,18,113,39,611,1075,587,424,175,34,19,259.92
Patuakhali ,5,4,33,178,38,658,142,59,354,163,0,22,138
Chandpur ,3,29,11,177,158,701,870,491,233,1258,0,2,327.75
Teknaf ,10,0,10,105,127,1568,1797,883,568,225,13,14,443.33
Chittagong ,4,0,63,196,77,707,1698,507,308,197,5,12,314.5
Commilla ,1,24,11,210,181,283,826,224,323,44,1,10,178.17
Cox’s Bazar ,7,0,16,77,96,1576,1605,609,463,217,23,27,393
Feni ,1,0,16,141,230,372,1173,509,411,243,7,0,258.58
Hatiya ,8,7,67,242,107,975,1295,516,559,593,43,16,369
Kutubdia ,25,0,12,181,83,1038,1634,646,334,238,21,35,353.92
M. Court ,0,3,32,175,116,693,1024,436,551,165,0,11,267.17
Rangamati ,1,0,55,252,109,586,1106,696,358,198,8,2,280.92
Sandwip ,2,0,31,185,171,716,1515,566,406,361,8,13,331.17
Sitakunda ,3,0,41,149,190,750,1324,685,438,214,3,5,316.83
Dhaka ,3,14,83,26,215,210,406,169,138,76,25,0,113.75
Tangail ,8,15,59,59,184,136,505,166,203,118,4,0,121.42
Mymensingh ,19,8,111,53,332,404,397,97,410,32,1,0,155.33
Faridpur ,2,16,40,41,243,255,446,300,126,104,29,0,133.5
Madaripur ,3,83,73,6,364,187,523,433,293,71,60,0,174.67
Srimangal ,2,131,107,289,511,350,186,327,201,224,229,5,213.5
Sylhet ,11,28,139,1031,671,629,530,482,475,158,108,0,355.17
Bogra ,15,0,22,8,267,107,438,151,322,270,0,11,134.25
Dinajpur ,11,0,52,0,220,119,452,146,438,199,0,0,136.42
Ishurdi ,30,12,119,82,216,190,282,236,457,61,2,0,140.58
Rajshahi ,42,3,54,146,217,106,379,167,170,95,0,1,115
Rangpur ,12,0,152,20,313,451,707,153,251,120,0,6,182.08
Sydpur ,10,1,73,0,301,306,442,148,396,102,0,0,148.25
Chuadanga ,0,83,72,46,88,139,330,464,125,61,2,0,117.5
Jessore ,3,20,94,26,272,281,399,679,100,67,43,0,165.33
Khulna ,0,97,43,16,351,313,439,620,147,85,75,0,182.17
Mongla ,16,53,38,3,278,354,561,500,73,159,55,0,174.17
Satkhira ,12,136,21,0,235,243,371,526,130,167,40,0,156.75
Barisal ,1,31,26,32,453,307,532,546,282,54,92,0,196.33
Bhola ,2,39,56,5,439,322,433,379,271,172,173,0,190.92
Khepupara ,6,13,21,4,591,363,791,398,180,219,153,0,228.25
Patuakhali ,12,53,34,12,528,314,725,526,177,271,144,0,233
Chandpur ,0,33,30,1,532,283,589,473,145,127,135,0,195.67
Teknaf ,0,0,35,7,383,917,1333,975,425,210,61,0,362.17
Chittagong ,5,6,97,19,252,176,580,400,317,242,89,0,181.92
Commilla ,1,47,124,66,492,168,584,275,124,111,190,0,181.83
Cox’s Bazar ,0,0,28,19,359,563,1114,472,283,418,41,0,274.75
Feni ,0,51,136,5,456,416,650,494,378,320,186,0,257.67
Hatiya ,4,34,80,1,337,416,1072,584,307,587,254,0,306.33
Kutubdia ,9,4,65,13,318,342,912,551,362,261,102,0,244.92
M. Court ,2,32,120,27,484,287,602,517,313,285,167,0,236.33
Rangamati ,3,85,53,27,289,510,495,353,377,138,120,0,204.17
Sandwip ,3,12,180,15,360,393,1128,578,386,431,255,0,311.75
Sitakunda ,3,56,140,14,336,337,771,493,312,247,102,0,234.25
Dhaka-41923 ,0,2,100,230,202,398,584,573,383,381,6,33,241
Tangail-41909 ,0,1,102,265,252,218,501,471,291,373,17,46,211.42
Faridpur-41929 ,0,0,83,160,204,333,474,323,217,286,14,29,176.92
Madaripur-41939 ,0,0,106,310,238,390,487,512,258,440,17,44,233.5
Gopalgonj-41938 ,0,0,87,246,122,431,660,409,202,457,12,33,221.58
Nikli-41902 ,,,,,,,,,357,375,9,86,206.75
Mymensingh-41886 ,0,0,158,329,352,496,367,448,435,214,25,34,238.17
Netrokona-41888 ,4,0,122,465,509,519,423,753,608,243,36,37,309.92
Chittagong-41978 ,0,0,102,309,330,847,1011,523,541,123,2,17,317.08
Sandwip-41964 ,0,0,190,368,353,900,1203,740,928,335,1,37,421.25
Sitakunda-41965 ,0,0,113,291,261,940,1316,812,790,173,1,41,394.83
Rangamati-41966 ,0,0,108,388,191,1186,678,639,421,157,18,30,318
Comilla-41933 ,0,8,231,360,265,414,649,534,287,272,5,162,265.58
Chandpur-41941 ,0,1,147,288,213,479,627,610,329,272,14,125,258.75
M Court-41953 ,0,36,194,318,292,532,980,648,412,401,13,76,325.17
Feni-41943 ,0,0,169,446,214,770,1031,721,561,458,4,91,372.08
Hatiya-41963 ,0,0,136,378,326,434,1185,700,652,398,2,43,354.5
Cox’s Bazar-41992 ,0,0,216,361,151,539,1434,530,512,156,4,19,326.83
Kutubdia-41989 ,0,0,181,289,187,672,1157,453,607,182,6,40,314.5
Teknaf-41998 ,0,0,128,162,160,861,1373,777,475,174,1,87,349.83
Sylhet-41891 ,0,137,478,786,616,1020,852,1081,583,301,3,90,495.58
Srimangal-41915 ,0,1,269,633,368,880,234,508,427,344,12,124,316.67
Rajshahi-41895 ,2,0,45,127,146,171,375,209,149,219,5,25,122.75
Ishurdi-41907 ,1,0,40,139,91,161,455,265,290,317,19,39,151.42
Bogra-41883 ,0,0,99,174,223,227,513,249,267,223,3,15,166.08
Badalgachi-41881 ,2,0,107,111,172,180,271,463,139,199,0,7,137.58
Tarash-41897 ,2,0,28,260,177,235,559,228,245,213,19,45,167.58
Rangpur-41859 ,3,0,116,172,360,127,323,540,110,143,0,0,157.83
Dinajpur-41863 ,5,0,102,196,171,160,196,669,129,140,0,0,147.33
Sayedpur-41858 ,3,0,100,165,264,256,362,717,111,196,0,0,181.17
Tetulia-41850 ,2,0,85,128,286,264,518,1239,741,177,3,0,286.92
Dimla-41851 ,2,0,134,103,271,530,434,854,171,126,0,0,218.75
Rajarhat-41856 ,1,0,158,156,379,334,397,334,331,187,0,0,189.75
Khulna-41947 ,0,2,59,128,173,376,668,310,183,274,19,51,186.92
Mongla-41958 ,0,0,83,56,104,339,528,356,195,335,17,59,172.67
Satkhira-41946 ,0,0,59,25,146,288,573,254,209,323,26,58,163.42
Jessore-41936 ,0,0,25,154,188,272,659,310,196,359,25,30,184.83
Chuadanga-41926 ,0,0,9,178,225,126,383,200,114,217,26,53,127.58
Kumarkhali-41927 ,0,0,38,182,110,155,435,275,301,265,20,42,151.92
Barisal-41950 ,0,0,59,365,118,508,542,365,227,375,14,57,219.17
Patuakhali-41960 ,0,0,119,250,56,385,733,540,286,391,18,52,235.83
Khepupara-41984 ,0,0,155,109,78,455,1058,390,371,444,23,55,261.5
Bhola-41951 ,0,0,128,340,103,387,576,419,272,231,17,100,214.42
Dhaka-41923 ,0,20,17,328,442,308,357,140,74,45,13,13,146.42
Tangail-41909 ,0,40,42,248,303,196,332,172,202,77,5,23,136.67
Faridpur-41929 ,0,4,15,232,225,200,422,86,138,68,22,13,118.75
Madaripur-41939 ,0,1,2,171,400,353,475,194,168,70,9,9,154.33
Gopalgonj-41938 ,0,0,2,207,232,174,253,172,130,44,0,4,101.5
Nikli-41902 ,0,20,36,230,624,361,299,258,126,142,34,12,178.5
Mymensingh-41886 ,0,10,34,269,490,305,307,221,144,122,36,18,163
Netrokona-41888 ,0,11,49,252,448,464,539,465,320,136,5,19,225.67
Chattogram-41978 ,13,0,20,90,406,640,818,316,157,297,0,4,230.08
Sandwip-41964 ,1,3,0,193,428,906,1290,589,244,251,0,0,325.42
Sitakunda-41965 ,18,0,0,259,270,1158,1087,444,157,227,0,3,301.92
Rangamati-41966 ,0,0,4,247,291,1049,502,281,333,257,0,35,249.92
Cumilla-41933 ,0,0,21,240,430,494,299,122,116,42,0,7,147.58
Chandpur-41941 ,0,2,9,183,452,546,418,200,76,73,14,3,164.67
M Court-41953 ,0,2,4,182,407,493,722,291,164,101,0,1,197.25
Feni-41943 ,0,2,16,257,410,596,572,503,196,89,0,1,220.17
Hatiya-41963 ,0,3,13,76,437,570,728,307,217,312,0,5,222.33
Cox’s Bazar-41992 ,26,0,0,59,252,975,1224,378,328,401,0,8,304.25
Kutubdia-41989 ,0,0,0,108,315,719,773,396,292,369,0,18,249.17
Teknaf-41998 ,29,0,0,10,226,919,1334,459,233,598,0,10,318.17
Sylhet-41891 ,0,39,95,393,519,794,689,504,373,103,39,29,298.08
Srimangal-41915 ,34,19,51,248,559,366,195,354,174,120,2,50,181
Rajshahi-41895 ,0,12,9,144,107,139,239,85,116,87,0,17,79.58
Ishurdi-41907 ,0,9,48,247,183,110,451,103,67,94,4,19,111.25
Bogura-41883 ,0,35,44,134,336,242,434,144,162,70,0,18,134.92
Badalgachi-41881 ,0,19,46,103,252,267,457,228,169,62,0,14,134.75
Tarash-41897 ,0,38,62,229,230,198,306,202,109,61,0,17,121
Rangpur-41859 ,0,0,14,169,307,363,154,198,145,33,0,7,115.83
Dinajpur-41863 ,0,0,29,63,144,127,171,152,192,8,0,10,74.67
Sayedpur-41858 ,0,0,25,194,122,416,218,245,245,16,0,9,124.17
Tetulia-41850 ,0,2,54,71,263,756,634,439,455,3,0,7,223.67
Dimla-41851 ,0,1,18,227,306,590,430,433,380,2,0,7,199.5
Rajarhat-41856 ,0,3,33,162,364,391,138,67,171,41,0,5,114.58
Khulna-41947 ,0,0,1,82,218,265,271,100,106,53,0,3,91.58
Mongla-41958 ,0,0,5,81,266,503,427,212,177,100,0,2,147.75
Satkhira-41946 ,0,0,0,77,138,256,273,259,146,105,0,10,105.33
Jashore-41936 ,0,3,12,207,166,119,430,114,75,76,0,11,101.08
Chuadanga-41926 ,0,3,1,130,169,214,398,146,110,55,0,25,104.25
Kumarkhali-41927 ,0,6,30,171,250,243,420,81,123,119,0,31,122.83
Barishal-41950 ,0,0,10,163,250,341,297,180,84,110,0,4,119.92
Patuakhali-41960 ,0,0,5,150,368,377,528,296,106,201,10,0,170.08
Khepupara-41984 ,0,0,1,48,273,742,766,295,275,267,1,1,222.42
Bhola-41951 ,0,0,7,134,316,350,287,181,120,111,0,1,125.58
Dhaka-41923 ,0,120,72,173,195,260,368,216,162,188,37,5,149.67
Tangail-41909 ,0,52,54,157,322,316,487,158,172,136,17,6,156.42
Faridpur-41929 ,0,99,11,66,164,105,313,194,123,112,39,9,102.92
Madaripur-41939 ,0,144,95,56,143,223,325,345,226,177,109,4,153.92
Gopalgonj-41938 ,0,105,41,126,130,123,310,228,187,271,177,10,142.33
Nikli-41902 ,0,101,85,160,312,608,516,306,329,90,19,9,211.25
Mymensingh-41886 ,,33,58,68,403,318,585,117,204,201,14,2,182.09
Netrokona-41888 ,0,23,49,90,472,371,700,274,390,216,8,6,216.58
Chattogram-41978 ,,40,12,69,206,161,1105,489,345,117,83,10,239.73
Sandwip-41964 ,1,34,19,63,168,272,1191,324,476,90,78,5,226.75
Sitakunda-41965 ,18,37,40,199,274,226,1589,420,337,151,117,14,285.17
Rangamati-41966 ,0,36,22,95,215,309,1104,341,267,170,132,5,224.67
Cumilla-41933 ,0,87,68,196,269,202,477,283,210,76,62,8,161.5
Chandpur-41941 ,0,116,76,71,215,199,402,280,164,128,91,4,145.5
M Court-41953 ,0,72,71,104,281,273,734,477,464,196,209,4,240.42
Feni-41943 ,0,80,54,122,208,262,808,547,302,173,93,4,221.08
Hatiya-41963 ,0,52,35,28,161,370,1091,449,288,195,179,8,238
Cox’s Bazar-41992 ,0,12,86,16,98,232,966,439,614,249,80,0,232.67
Kutubdia-41989 ,0,21,48,21,94,141,1226,300,560,114,63,3,215.92
Teknaf-41998 ,,4,84,3,84,321,1458,708,935,152,23,0,342.91
Sylhet-41891 ,0,45,47,326,650,807,638,407,309,342,9,0,298.33
Srimangal-41915 ,0,46,70,92,439,438,466,179,216,194,28,3,180.92
Rajshahi-41895 ,0,46,92,89,140,130,254,114,219,141,3,0,102.33
Ishurdi-41907 ,0,55,28,62,125,287,306,157,191,191,36,6,120.33
Bogura-41883 ,0,26,31,38,199,357,519,132,173,173,2,0,137.5
Badalgachi-41881 ,0,34,34,71,178,166,400,242,284,158,1,1,130.75
Tarash-41897 ,0,58,65,41,208,294,404,256,140,222,15,3,142.17
Rangpur-41859 ,,28,32,111,365,252,612,203,564,125,0,0,208.36
Dinajpur-41863 ,0,27,16,114,193,299,671,335,582,59,0,0,191.33
Sayedpur-41858 ,0,42,17,98,196,352,521,296,539,79,0,0,178.33
Tetulia-41850 ,,29,20,202,301,312,1216,278,303,60,0,0,247.36
Dimla-41851 ,,18,34,162,318,274,726,186,501,37,0,0,205.09
Rajarhat-41856 ,,25,21,115,408,297,652,182,294,106,1,0,191
Khulna-41947 ,0,172,82,88,104,131,325,362,285,155,175,15,157.83
Mongla-41958 ,0,105,60,77,107,260,380,385,286,138,265,11,172.83
Satkhira-41946 ,0,130,109,73,116,222,144,567,234,68,172,11,153.83
Jashore-41936 ,0,109,84,155,123,155,228,231,222,157,75,14,129.42
Chuadanga-41926 ,0,82,18,76,227,155,167,129,264,142,31,3,107.83
Kumarkhali-41927 ,0,102,61,199,171,228,232,178,179,219,26,4,133.25
Barishal-41950 ,0,78,30,84,146,154,447,258,249,176,365,13,166.67
Patuakhali-41960 ,0,78,60,48,165,264,624,336,195,96,226,11,175.25
Khepupara-41984 ,0,63,48,77,211,501,745,617,293,371,220,5,262.58
Bhola-41951 ,0,71,31,62,143,149,425,360,273,77,265,18,156.17
Dhaka-41923 ,0,0,3,39,244,543,318,247,140,166,27,153,156.67
Tangail-41909 ,0,0,8,61,218,536,168,455,115,221,11,38,152.58
Faridpur-41929 ,0,0,0,18,186,321,456,354,122,71,29,175,144.33
Madaripur-41939 ,0,0,0,15,180,427,282,185,141,80,27,113,120.83
Gopalgonj-41938 ,0,0,0,3,118,485,271,233,316,168,12,74,140
Nikli-41902 ,0,0,14,60,308,386,284,516,246,163,2,31,167.5
Mymensingh-41886 ,0,0,2,45,376,429,230,435,66,188,0,9,148.33
Netrokona-41888 ,0,0,71,46,424,729,456,658,182,177,0,11,229.5
Chattogram-41978 ,0,0,0,25,210,905,865,753,314,234,0,95,283.42
Sandwip-41964 ,0,0,0,0,162,790,798,713,357,126,0,62,250.67
Sitakunda-41965 ,0,0,0,0,94,1051,587,656,211,129,0,66,232.83
Rangamati-41966 ,0,0,0,34,113,438,407,576,218,146,0,74,167.17
Cumilla-41933 ,0,0,0,4,150,439,365,269,544,118,20,164,172.75
Chandpur-41941 ,2,0,2,3,164,469,357,398,235,198,34,126,165.67
M Court-41953 ,0,0,0,6,181,717,468,436,233,212,0,92,195.42
Feni-41943 ,0,0,1,16,104,618,721,382,296,192,19,89,203.17
Hatiya-41963 ,0,0,0,2,151,1174,725,749,321,104,0,67,274.42
Cox’s Bazar-41992 ,0,0,0,46,167,808,1095,936,185,207,0,39,290.25
Kutubdia-41989 ,0,0,0,19,94,902,1084,973,133,252,0,84,295.08
Teknaf-41998 ,0,0,0,9,29,927,1003,641,159,171,0,21,246.67
Sylhet-41891 ,0,0,128,133,338,669,651,915,207,240,0,14,274.58
Srimangal-41915 ,3,0,109,39,244,228,233,436,170,165,2,66,141.25
Rajshahi-41895 ,0,0,0,18,193,233,336,540,148,116,1,1,132.17
Ishurdi-41907 ,0,0,1,41,175,430,285,337,170,117,18,16,132.5
Bogura-41883 ,0,0,6,24,296,404,289,408,115,90,0,1,136.08
Badalgachi-41881 ,0,0,0,11,310,541,191,370,97,109,0,0,135.75
Tarash-41897 ,0,0,0,137,211,289,231,447,147,123,0,4,132.42
Rangpur-41859 ,0,0,9,54,312,241,170,448,193,386,0,5,151.5
Dinajpur-41863 ,0,0,0,22,277,289,185,412,121,442,0,5,146.08
Sayedpur-41858 ,0,0,0,52,291,245,306,548,233,350,0,4,169.08
Tetulia-41850 ,0,0,17,26,218,452,747,819,286,416,0,4,248.75
Dimla-41851 ,0,0,27,41,270,348,420,568,213,339,0,1,185.58
Rajarhat-41856 ,0,0,20,73,381,296,149,459,324,382,0,2,173.83
Khulna-41947 ,0,3,0,2,136,458,524,202,340,234,3,69,164.25
Mongla-41958 ,0,0,0,0,206,431,961,332,373,248,2,60,217.75
Satkhira-41946 ,0,3,0,1,173,402,511,235,347,217,3,87,164.92
Jashore-41936 ,0,1,0,4,170,368,294,210,332,167,41,193,148.33
Chuadanga-41926 ,0,0,13,6,233,296,298,521,147,77,37,75,141.92
Kumarkhali-41927 ,0,0,0,9,115,399,220,365,181,80,36,60,122.08
Barishal-41950 ,0,1,1,0,126,340,399,259,244,277,0,67,142.83
Patuakhali-41960 ,0,0,0,1,88,619,832,367,363,248,2,58,214.83
Khepupara-41984 ,4,0,0,0,122,561,838,436,385,268,0,50,222
Bhola-41951 ,0,1,0,1,173,638,392,329,196,228,2,68,169
Dhaka-41923 ,12,20,14,102,273,173,95,121,282,297,0,4,116.08
Tangail-41909 ,16,42,0,101,313,235,105,208,309,306,0,9,137
Faridpur-41929 ,7,37,0,38,274,208,116,209,181,296,0,0,113.83
Madaripur-41939 ,18,58,0,30,338,302,87,204,380,435,0,0,154.33
Gopalgonj-41938 ,11,72,0,44,210,221,137,172,208,285,0,5,113.75
Nikli-41902 ,18,15,1,126,275,338,334,274,254,253,0,5,157.75
Mymensingh-41886 ,9,15,0,70,308,472,116,220,351,241,0,,163.82
Netrokona-41888 ,10,17,16,145,355,883,291,330,356,209,0,5,218.08
Chattogram-41978 ,1,11,0,45,358,570,274,126,379,148,0,20,161
Sandwip-41964 ,6,18,0,76,328,709,272,114,628,86,0,11,187.33
Sitakunda-41965 ,6,24,6,79,439,743,197,123,535,147,0,50,195.75
Rangamati-41966 ,11,8,0,60,333,566,377,345,233,157,4,4,174.83
Cumilla-41933 ,6,23,10,60,270,343,143,99,273,196,0,2,118.75
Chandpur-41941 ,6,46,0,78,317,322,111,153,194,419,0,0,137.17
M Court-41953 ,20,10,0,99,373,302,201,315,306,310,0,0,161.33
Feni-41943 ,8,13,3,38,385,505,265,382,696,147,0,0,203.5
Hatiya-41963 ,3,13,0,69,292,590,296,431,446,335,0,0,206.25
Cox’s Bazar-41992 ,8,30,3,52,265,701,167,322,413,83,0,15,171.58
Kutubdia-41989 ,7,15,0,39,290,522,208,96,404,169,0,0,145.83
Teknaf-41998 ,7,6,88,10,264,894,270,529,272,171,27,0,211.5
Sylhet-41891 ,17,24,30,281,837,1461,758,442,716,334,0,8,409
Srimangal-41915 ,20,27,0,116,625,591,304,378,307,443,0,1,234.33
Rajshahi-41895 ,3,39,0,20,176,70,85,308,259,56,0,1,84.75
Ishurdi-41907 ,23,46,0,28,204,85,75,208,273,144,0,0,90.5
Bogura-41883 ,17,40,0,57,271,331,235,108,398,103,0,3,130.25
Badalgachi-41881 ,5,44,0,132,250,189,165,140,289,72,0,,116.91
Tarash-41897 ,4,43,9,67,333,115,130,199,446,106,0,1,121.08
Rangpur-41859 ,8,82,0,179,267,585,328,242,148,69,,0,173.45
Dinajpur-41863 ,18,61,3,77,392,421,196,228,220,97,0,0,142.75
Sayedpur-41858 ,12,70,24,198,285,402,228,178,245,70,0,0,142.67
Tetulia-41850 ,1,41,49,90,309,1063,597,444,548,379,0,0,293.42
