Station,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Year
Patuakhali ,13.6,19.7,22.8,26.3,25.5,26.5,26.1,26.3,26.4,24.9,19.9,16.3,22.86
Chandpur ,13.7,19.1,22.3,25.9,24.8,26.3,26.2,26.1,27.6,25.2,20,17.1,22.86
Teknaf ,14,18.3,21.8,26,25.9,25.9,25.2,25.4,25.9,25.2,20.4,17.7,22.64
Chittagong ,14.7,19.4,22.9,26.3,25.7,26.4,26,26,26.1,25.4,20.7,18.1,23.14
Commilla ,13.2,19.2,21.8,26.1,24.5,26.2,26.1,26.3,26.1,24.7,19.8,15.9,22.49
Cox’s Bazar ,15.3,20.3,23.2,26.8,25.9,26,25.4,25.3,25.8,25.1,21.4,19,23.29
Feni ,12.8,18.8,21.9,25.8,24.5,25.7,25.5,25.6,25.8,24.3,19,20.3,22.5
Hatiya ,13.7,19.2,22.3,26.2,25.5,25.9,25.7,25.6,25.9,24.8,19.6,16.3,22.56
Kutubdia ,14.9,19.8,22.8,26.3,25.9,26.4,25.9,25.9,26,25.2,20.6,18.2,23.16
M. Court ,14.5,19.7,22.8,26.5,25.2,26.5,26,26,26.2,25.1,20.6,19.3,23.2
Rangamati ,12.7,16.5,20.7,25.5,24.1,24.5,24.9,26.2,24.7,240,18.6,15.8,39.52
Sandwip ,13.7,19.1,22.2,26.8,25.2,26,25.5,24.9,26,24.8,19.7,16.4,22.53
Sitakunda ,11.9,17.7,21.4,26.6,24.9,25.8,25.6,25.8,25.8,24.2,18.6,14.9,21.93
Dhaka-41923 ,14.9,17.6,20.4,23.9,25.9,26.5,26.5,26.7,27,24.8,20.6,17.1,22.66
Tangail-41909 ,11.9,15.4,18.8,22.6,24.8,25.8,26.2,26.7,26.5,24.3,18.4,15.3,21.39
Faridpur-41929 ,12.2,15,19.6,23.7,25.5,26,26.3,26.8,26.6,24.6,18.9,15.6,21.73
Madaripur-41939 ,11.8,15.2,19.4,23.8,25.3,25.9,26.1,26.3,26.3,24.4,18.3,15.4,21.52
Gopalgonj-41938 ,11.2,15.2,19.9,23.7,25.4,26,25.8,26.2,26.7,24.3,18.3,15,21.48
Nikli-41902 ,,,,,,,,,26.9,24.9,20.5,16.9,22.3
Mymensingh-41886 ,12.8,15.8,18.3,22.2,24.1,25.9,26.5,26.7,26.6,24.1,18.4,15.9,21.44
Netrokona-41888 ,13.2,15.8,17.8,21.5,23.9,25.3,26,26.2,26.2,24.1,18.9,16,21.24
Chittagong-41978 ,15.3,18,20.7,24,26.4,25.7,25.9,26.1,25.9,24.7,21.8,17.8,22.69
Sandwip-41964 ,13.3,16.5,19.8,23.9,26,25.7,25.7,25.8,25.6,24.5,20.3,16,21.93
Sitakunda-41965 ,12.2,15.4,19.3,23.4,25.6,25.5,25.7,25.6,25.4,23.8,190,15,35.58
Rangamati-41966 ,12.5,15.2,17.8,22.7,24.4,23.7,24.4,24.4,23.9,23.7,20.1,16.2,20.75
Comilla-41933 ,13.1,16.7,19.7,23.2,25.5,25.7,26.1,26.2,26.2,24.3,20.2,16.7,21.97
Chandpur-41941 ,14.1,16.8,19.9,24.4,26.1,26.2,26.2,26.7,26.7,25,20.4,17.1,22.47
M Court-41953 ,14.6,17.5,20.5,24.3,26.1,26.1,26.1,26.5,26.3,25,21,17.4,22.62
Feni-41943 ,12.9,16.4,19.7,23.2,25.3,25.4,25.6,25.7,25.7,23.9,19.3,15.9,21.58
Hatiya-41963 ,13.5,16.5,20,24,25.5,26,25.9,26.2,25.6,24.7,20.2,16.4,22.04
Cox’s Bazar-41992 ,16.5,18.5,20.7,24.3,26.3,25.7,25.4,25.5,25.4,24.9,22.6,18.6,22.87
Kutubdia-41989 ,15.7,17.8,20.7,24,26.4,26,25.8,25.9,25.7,25,21.8,17.8,22.72
Teknaf-41998 ,14.2,16,21.2,24.2,26.4,26.6,25.7,26,25.9,26.1,23.7,17.9,22.83
Sylhet-41891 ,14.2,16.2,18.3,21,23.2,25,25.8,25.5,25.7,23.5,19.4,16.6,21.2
Srimangal-41915 ,10,12.5,16.7,21.4,23.5,24.5,25.8,25.7,25.3,23.1,17.2,14,19.98
Rajshahi-41895 ,11,13.6,18.6,23.2,24.7,26.4,26.3,26.9,26.7,24.3,17.4,14.6,21.14
Ishurdi-41907 ,11.1,14,18.7,23.3,25.1,26.3,26.4,26.9,26.6,24.5,17.9,14.7,21.29
Bogra-41883 ,12.8,15.4,18.9,23,24.7,26.5,26.8,27.2,27,24.7,18.8,15.7,21.79
Badalgachi-41881 ,,15.1,18.2,22.2,23.9,26.1,26.5,27,26.5,24,16.6,14.2,21.85
Tarash-41897 ,12.1,15.3,18.7,22.4,24.5,26.1,26.4,27.3,27.1,24.7,18.8,15.8,21.6
Rangpur-41859 ,12,14.4,17.2,21.8,23.5,25.9,26.4,26.6,26.3,24,17.6,14.9,20.88
Dinajpur-41863 ,10.9,13.4,16.7,21.5,23.7,26,26.6,26.8,26.4,23.6,16.4,13.5,20.46
Sayedpur-41858 ,11.4,13.8,16.6,21.3,23.3,25.7,26.3,26.6,26.3,23.5,22.4,14.1,20.94
Tetulia-41850 ,9.6,12.5,15.8,20.1,,,25.4,,,,14.1,12.2,15.67
Dimla-41851 ,10.9,13.8,16.2,20.8,23.3,25.7,26.5,26.4,25.8,23.3,16.6,14,20.28
Rajarhat-41856 ,10.4,13,16.2,21,22.7,25,25.9,26.5,26.1,23.5,16.8,13.7,20.07
Khulna-41947 ,13,16.6,20.7,25,25.9,26.7,26.5,26.8,26.9,24.6,19.1,16.1,22.33
Mongla-41958 ,14.2,17.8,21.6,25.5,26.5,27.2,26.8,26.7,26.6,24.7,20.1,17,22.89
Satkhira-41946 ,11.7,15.9,20.3,25.1,31.5,26.2,25.9,26.3,26.2,24,17.7,14.4,22.1
Jessore-41936 ,11.2,14.7,19.3,24.2,25.9,26.3,26.3,26.9,26.7,24.6,17.6,13.6,21.44
Chuadanga-41926 ,10.6,14,19.1,23.9,24.9,26.4,26.3,26.6,26.7,24.2,17.2,14,21.16
Kumarkhali-41927 ,12.4,15.3,19.6,23.4,25.4,26.1,26.1,26.1,26.6,24.7,19.4,15.8,21.74
Barisal-41950 ,12,15.8,20.2,24.5,25.9,26.4,26.3,26.5,26.2,24.4,18.7,15.5,21.87
Patuakhali-41960 ,13.4,16.9,21.1,24.6,25.9,26.8,26.4,26.5,26.5,24.6,19.9,16.6,22.43
Khepupara-41984 ,12.6,16.5,21.1,25.1,26.3,26.7,26,26.5,25.9,24.2,19.3,15.8,22.17
Bhola-41951 ,12.1,15.9,20.3,24.5,25.8,25.5,25.9,26.3,25.6,24.3,19.1,15.8,21.76
Dhaka-41923 ,12.8,18.1,22.3,22.5,24.1,26.2,26.7,27.1,27,23.6,19.8,16.2,22.2
